Title,Company,Experience,Salary,Location,Rating,Reviews,Posted,Link
Data Analyst,Diverse Lynx,8-15 Yrs,Not Disclosed,Kolkata,3.4,389  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-diverse-lynx-kolkata-8-to-15-years-040825506151
Data Analyst,Bazaronweb,1-3 Yrs,Not Disclosed,Lucknow,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-bazaronweb-lucknow-1-to-3-years-040625503836
Data Analyst,Walbrosoft,2-7 Yrs,Not Disclosed,Nagpur,4.8,2  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-walbrosoft-nagpur-2-to-7-years-040319502010
Data Analyst,Prudent Globaltech Solutions,7-12 Yrs,Not Disclosed,Hyderabad,4.1,5  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-prudent-globaltech-solutions-private-limited-hyderabad-7-to-12-years-030625502356
Data Analyst,Diensten Tech,1-2 Yrs,Not Disclosed,Pune,2.9,97  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-diensten-tech-limited-pune-1-to-2-years-030325500481
Data Analysts,Pratyaksha Medi Care,1-2 Yrs,Not Disclosed,Noida,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analysts-pratyaksh-medical-care-noida-1-to-2-years-020524501260
Data Analyst,Synaptica Tech,1-3 Yrs,Not Disclosed,Hyderabad,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-synapticatech-hyderabad-1-to-3-years-020426509597
Data Analyst,Black Gambit Marketing & Technologies,1-3 Yrs,Not Disclosed,Pune,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-black-gambit-marketing-technologies-pune-1-to-3-years-020226500618
Data Analyst,Intuitive Apps,6-11 Yrs,Not Disclosed,Gurugram,2.7,6  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-intuitive-apps-gurugram-6-to-11-years-011123500935
Data Analyst,MRO,3-5 Yrs,Not Disclosed,Pune,3.0,261  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-figmd-pune-3-to-5-years-010720500537
Client Data Analyst,Xcellence It,16-26 Yrs,Not Disclosed,Surat,3.2,16  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-client-data-analyst-xcellence-it-surat-16-to-26-years-010426505123
Data Analyst,HT Digital Streams,2-10 Yrs,Not Disclosed,Gurugram,2.7,46  Reviews,3 weeks ago,https://www.naukri.com/job-listings-data-analyst-ht-digital-streams-gurugram-2-to-10-years-250526016800
BA / Data Analyst,tekskills,10-18 Yrs,Not Disclosed,"Hybrid - Chennai, india",N/A,N/A,2 weeks ago,https://www.naukri.com/job-listings-ba-data-analyst-tekskills-chennai-india-10-to-18-years-290526920057
Data Analyst,Leading Client,6-9 Yrs,Not Disclosed,Hyderabad,N/A,N/A,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-ideslabs-private-limited-hyderabad-6-to-9-years-280526926976
Data Analyst,Leading Client,6-10 Yrs,Not Disclosed,Hyderabad,N/A,N/A,2 weeks ago,https://www.naukri.com/job-listings-data-analyst-ideslabs-private-limited-hyderabad-6-to-10-years-280526913863
